x y z
0.0248018 0.0901547 0
0.0248018 0.0922518 0
0.0248018 0.0934619 0
0.0276547 0.0627881 0
0.0276547 0.0639982 0
0.0276547 0.0660953 0
0.0276547 0.0689482 0
0.0276547 0.0723776 0
0.0276547 0.0761682 0
0.0276547 0.0800818 0
0.0276547 0.0838724 0
0.0276547 0.0873018 0
0.0276547 0.0901547 0
0.0276547 0.0922518 0
0.0276547 0.0934619 0
0.0297518 0.0627881 0
0.0297518 0.0639982 0
0.0297518 0.0660953 0
0.0297518 0.0689482 0
0.0297518 0.0723776 0
0.0297518 0.0761682 0
0.0297518 0.0800818 0
0.0297518 0.0838724 0
0.0297518 0.0873018 0
0.0297518 0.0901547 0
0.0297518 0.0922518 0
0.0297518 0.0934619 0
0.0309619 0.0627881 0
0.0309619 0.0639982 0
0.0309619 0.0660953 0
0.0309619 0.0689482 0
0.0309619 0.0723776 0
0.0309619 0.0761682 0
0.0309619 0.0800818 0
0.0309619 0.0838724 0
0.0309619 0.0873018 0
0.0309619 0.0901547 0
0.0309619 0.0922518 0
0.0309619 0.0934619 0
0.000288115 0.0940381 0
0.000288115 0.0952482 0
0.000288115 0.0973453 0
0.000288115 0.100198 0
0.000288115 0.103628 0
0.000288115 0.107418 0
0.000288115 0.111332 0
0.000288115 0.115122 0
0.000288115 0.118552 0
0.000288115 0.121405 0
0.000288115 0.123502 0
0.000288115 0.124712 0
0.00149817 0.0940381 0
0.00149817 0.0952482 0
0.00149817 0.0973453 0
0.00149817 0.100198 0
0.00149817 0.103628 0
0.00149817 0.107418 0
0.00149817 0.111332 0
0.00149817 0.115122 0
0.00149817 0.118552 0
0.00149817 0.121405 0
0.00149817 0.123502 0
0.00149817 0.124712 0
0.00359527 0.0940381 0
0.00359527 0.0952482 0
0.00359527 0.0973453 0
0.00359527 0.100198 0
0.00359527 0.103628 0
0.00359527 0.107418 0
0.00359527 0.111332 0
0.00359527 0.115122 0
0.00359527 0.118552 0
0.00359527 0.121405 0
0.00359527 0.123502 0
0.00359527 0.124712 0
0.00644816 0.0940381 0
0.00644816 0.0952482 0
0.00644816 0.0973453 0
0.00644816 0.100198 0
0.00644816 0.103628 0
0.00644816 0.107418 0
0.00644816 0.111332 0
0.00644816 0.115122 0
0.00644816 0.118552 0
0.00644816 0.121405 0
0.00644816 0.123502 0
0.00644816 0.124712 0
0.00987763 0.0940381 0
0.00987763 0.0952482 0
0.00987763 0.0973453 0
0.00987763 0.100198 0
0.00987763 0.103628 0
0.00987763 0.107418 0
0.00987763 0.111332 0
